Point,Corner,Iin,mc_iteration,temperature,Pass/Fail,/Inv_Out,DELAY
226,C0,108.6e-9,46,-40,,,1.416e-9
226,C1,108.6e-9,46,150,,,1.34e-9
227,C0,108.6e-9,47,-40,,,1.389e-9
227,C1,108.6e-9,47,150,,,1.304e-9
228,C0,108.6e-9,48,-40,,,1.374e-9
228,C1,108.6e-9,48,150,,,1.286e-9
229,C0,108.6e-9,49,-40,,,1.265e-9
229,C1,108.6e-9,49,150,,,1.132e-9
230,C0,108.6e-9,50,-40,,,1.383e-9
230,C1,108.6e-9,50,150,,,1.307e-9
231,C0,108.6e-9,51,-40,,,1.406e-9
231,C1,108.6e-9,51,150,,,1.367e-9
232,C0,108.6e-9,52,-40,,,1.374e-9
232,C1,108.6e-9,52,150,,,1.285e-9
233,C0,108.6e-9,53,-40,,,1.516e-9
233,C1,108.6e-9,53,150,,,1.393e-9
234,C0,108.6e-9,54,-40,,,1.35e-9
234,C1,108.6e-9,54,150,,,1.298e-9
235,C0,108.6e-9,55,-40,,,1.321e-9
235,C1,108.6e-9,55,150,,,1.209e-9
236,C0,108.6e-9,56,-40,,,1.331e-9
236,C1,108.6e-9,56,150,,,1.235e-9
237,C0,108.6e-9,57,-40,,,1.302e-9
237,C1,108.6e-9,57,150,,,1.189e-9
238,C0,108.6e-9,58,-40,,,1.41e-9
238,C1,108.6e-9,58,150,,,1.36e-9
239,C0,108.6e-9,59,-40,,,1.387e-9
239,C1,108.6e-9,59,150,,,1.306e-9
240,C0,108.6e-9,60,-40,,,1.32e-9
240,C1,108.6e-9,60,150,,,1.22e-9
241,C0,131.4e-9,1,-40,,,1.489e-9
241,C1,131.4e-9,1,150,,,1.406e-9
242,C0,131.4e-9,2,-40,,,1.395e-9
242,C1,131.4e-9,2,150,,,1.321e-9
243,C0,131.4e-9,3,-40,,,1.357e-9
243,C1,131.4e-9,3,150,,,1.3e-9
244,C0,131.4e-9,4,-40,,,1.462e-9
244,C1,131.4e-9,4,150,,,1.384e-9
245,C0,131.4e-9,5,-40,,,1.416e-9
245,C1,131.4e-9,5,150,,,1.355e-9
246,C0,131.4e-9,6,-40,,,1.391e-9
246,C1,131.4e-9,6,150,,,1.268e-9
247,C0,131.4e-9,7,-40,,,1.571e-9
247,C1,131.4e-9,7,150,,,1.527e-9
248,C0,131.4e-9,8,-40,,,1.542e-9
248,C1,131.4e-9,8,150,,,1.468e-9
